name,city,bedroom,status,location,price_range1,bedroom2,price_range2,bedroom3,price_range3,owner,owner_name,sq.ft_min,sq_ft_max,price_per_sqft
Southern Woods,kolkata,2,"Oct, 2026","Garia, Kolkata",7700,3,9100,,,Builder,Lumberman Wood,800,1000,9.333333333
Natural City Madhyamgram,kolkata,2,"Mar, 2029","Madhyamgram, Kolkata",4300,3,5600,4,0.7,Builder,Natural Group,800,1000,5.5
Bhawani Inara,kolkata,2,"Dec, 2026","Rajarhat, Kolkata",16000,4,20300,,,Builder,Bhawani Group,1000,1200,16.5
Aadhya Arambh,ahmedabad,2,"Dec, 2026","Ghatlodia, Ahmedabad",13500,,32032.6087,,,Builder,Shikhar Projects,1000,1834.765625,13.5
Shivalaya 24,ahmedabad,3,"Nov, 2025","Chandkheda, Ahmedabad",12700,,32032.6087,,,Builder,Neeldev Buildcon,950,1834.765625,13.36842105
The Golden County,ahmedabad,2,"Since Jun, 2022","Greater Thol, Rancharda, Ahmedabad",23800,,32032.6087,,,Builder,The Golden County,1200,1834.765625,19.83333333
Karmabhumi 1,ahmedabad,2,"Since Jan, 2012","Rancharda, Ahmedabad",26400,,32032.6087,,,Builder,Karmabhumi,1300,1834.765625,20.30769231
The Sovereign,ahmedabad,4,"Dec, 2027","Thaltej Shilaj Road, Ahmedabad",43000,,32032.6087,,,Builder,Ashima Limited,2000,1834.765625,21.5
Tulsi Paradise,ahmedabad,3,"May, 2025","Motera, Ahmedabad",7100,,32032.6087,,,Builder,Shyam Group Motera Ahmedabad,900,1834.765625,7.888888889
Vandematram Sky 100,ahmedabad,3,"May, 2026","Thaltej, Ahmedabad",16300,,32032.6087,,,Builder,Vandematram Infra,1100,1834.765625,14.81818182
Suryansh Sanidhya Shivalaya,ahmedabad,2,"Jun, 2025","Sarkhej, Sarkhej Okaf, Ahmedabad",3900,,32032.6087,,,Builder,Sun Buildcon,850,1834.765625,4.588235294
Super Shaligram,ahmedabad,3,"Mar, 2029","Gota, Ahmedabad",15400,,32032.6087,,,Builder,Shaligram Group,1300,1834.765625,11.84615385
Rajyash Regius,ahmedabad,3,"Dec, 2026","Bopal, Ahmedabad",14000,,32032.6087,,,Builder,Rajyash Group,1200,1834.765625,11.66666667
Times 104,ahmedabad,4,"Oct, 2025","Thaltej, Ahmedabad",35000,,32032.6087,,,Builder,Times Infrabuild,1500,1834.765625,23.33333333
Anamika High Point,ahmedabad,4,"Jun, 2030","Bodakdev, Ahmedabad",35800,,32032.6087,,,Builder,Constera Realty,1700,1834.765625,21.05882353
Shagun Seleste,ahmedabad,3,"Oct, 2026","Chandkheda, Ahmedabad",12700,,32032.6087,,,Builder,Shagun Group,1100,1834.765625,11.54545455
Maitri Elevate,ahmedabad,3,"Dec, 2028","Koteshwar, Ahmedabad",13700,,32032.6087,,,Builder,Maitri Group Ahmedabad,1000,1834.765625,13.7
