name,city,bedroom,status,location,price_range1,bedroom2,price_range2,bedroom3,price_range3,owner,owner_name,sq.ft_min,sq_ft_max,price_per_sqft
Lodha Aura New Cuffe Parade,mumbai,1,"Jun, 2025","Wadala, Mumbai",50300,4,67700,,,Builder,Lodha,2000,2200,28.0952381
Chandak Highscape City,mumbai,3,"Dec, 2030","Chembur, Mumbai",13400,2,20800,,,Builder,Chandak Group,900,1200,16.28571429
Piramal Mahalaxmi,mumbai,1,"Dec, 2025","Mahalaxmi, Mumbai",56400,3,110800,,,Builder,Piramal Realty,2500,4000,25.72307692
Sheth Montana,mumbai,2,"Dec, 2026","Mulund West, Mumbai",30700,3,45500,,,Builder,Ashwin Sheth Group,1500,2000,21.77142857
Piramal Revanta,mumbai,2,"Nov, 2028","Mulund West, Mumbai",16500,2,33900,,,Builder,Piramal Realty,1200,1800,16.8
Johaan Signature Isle,mumbai,1,,"Matunga East, Mumbai",26000,2,30000,,,Builder,Johaan Realtors,1200,1800,18.66666667
Kalpataru Advay,mumbai,1,"Jun, 2030","Borivali West, Mumbai",25900,3,43000,,,Builder,Kalpataru,1000,1800,24.60714286
Gagangiri Aerovista,mumbai,2,"Dec, 2024","Andheri East, Mumbai",13900,2,15600,,,Builder,Gagangiri Construction,1000,1400,12.29166667
Lodha Regalia,mumbai,1,"Sep, 2027","Mulund East, Mumbai",22400,3,31900,,,Builder,Lodha,1200,1800,18.1
One Meraki,mumbai,2,"Dec, 2026","Chembur, Mumbai",32000,3,76400,,,Builder,Meraki Habitats,1200,4000,20.84615385
Leo Eminence,mumbai,2,"Dec, 2025","Bandra Kurla Complex, Mumbai",14500,2,23500,,,Builder,Leo Builders,900,1000,20
Suraj Lumina,mumbai,1,"Dec, 2028","Mahim West, Mumbai",31000,3,45900,,,Builder,Suraj Estate,1200,2000,24.03125
Auriga 9,mumbai,2,"Dec, 2029","Borivali West, Mumbai",20000,3,35900,,,Builder,Rajyog Projects and Bhatia Group,1200,1800,18.63333333
Lodha Bellevue Tower 3,mumbai,2,"Dec, 2027","Mahalaxmi, Mumbai",60300,4,89900,,,Builder,Lodha,3000,4500,20.02666667
