builder_name,city,completion_year,building_count,buildings
Builder,hyderabad," Sep, 2025 ",1,Sumadhuras Gardens By The Brook
Builder,hyderabad," Sep, 2027 ",2,"Sansa County Sector 2, Sansa County Sector 2"
Builder,hyderabad,"Apr, 2027",1,Candeur Lakescape
Builder,hyderabad,"Dec, 2023",1,Syamantaka Emerald Heights
Builder,hyderabad,"Dec, 2025",2,"Unnati Shree Rath Apartments, Sunshine Green Meadows"
Builder,hyderabad,"Dec, 2026",2,"Mahaveer Crystal Garden, Mahaveer Crystal Garden"
Builder,hyderabad,"Dec, 2028",3,"Lansum Elena, NSL Nakshatra, Lansum Elena"
Builder,hyderabad,"Jul, 2026",2,"Merlion Orchids, Merlion Orchids"
Builder,hyderabad,"Jul, 2028",2,"Supadha Gamya, Supadha Gamya"
Builder,hyderabad,"Jun, 2026",1,The Olympus
Builder,hyderabad,"Mar, 2026",1,Radhey Skye
Builder,hyderabad,"Mar, 2027",1,Bricks Marvella
Builder,hyderabad,"Nov, 2026",2,"Shiva Sai Lavista, Shiva Sai Lavista"
Builder,hyderabad,"Sep, 2025 ",1,Sumadhuras Gardens By The Brook
Builder,hyderabad,"Sep, 2028",2,"Iris by Raghava, Iris by Raghava"
Builder,kolkata," Aug, 2024",1,JCSV Pride
Builder,kolkata," Dec, 2024",1,Swayam City
Builder,kolkata," Dec, 2025",1,Merlin Oikyo
Builder,kolkata," Dec, 2026",2,"Urban Vista Phase 1, Bhawani Inara"
Builder,kolkata," Dec, 2027",1,Merlin Rise
Builder,kolkata," Dec, 2027 ",1,DTC Capital City
Builder,kolkata," Dec, 2028",2,"Siddha Serena, Bhawani Porshi Nagar Uttarpara"
Builder,kolkata," Jul, 2029",1,Vinayak Amara
Builder,kolkata," Jun, 2028",1,Eden Roopkatha
Builder,kolkata," Jun, 2029",1,Merlin Serenia
Builder,kolkata," Mar, 2025",1,Belani Zest
Builder,kolkata,"Dec, 2020",1,Master Orchard Estate
Builder,kolkata,"Dec, 2026",1,Magnolia Vishnupriya
Builder,kolkata,"Dec, 2027",3,"DTC Sojon, Merlin Avana, Merlin Isle"
Builder,kolkata,"Jan, 2027",1,GPS Meena Maple Phase 1
Builder,kolkata,"Jun, 2030",1,Cellesta
Builder,kolkata,"Mar, 2025",1,Joyville Western Height
Builder,kolkata,"Mar, 2029",2,"Rishi Ventoso Phase 2, Natural City Madhyamgram"
Builder,kolkata,"Oct, 2025 ",1,Elevate Godrej Se7en
Builder,kolkata,"Oct, 2026",1,Southern Woods
Builder,mumbai," Dec, 2024",1,Gagangiri Aerovista
Builder,mumbai," Dec, 2025",1,Leo Eminence
Builder,mumbai," Dec, 2026",1,Park Royale
Builder,mumbai," Dec, 2027",1,Lodha Bellevue Tower 3
Builder,mumbai," Dec, 2028",1,Suraj Lumina
Builder,mumbai," Dec, 2029",1,Auriga 9
Builder,mumbai," Jun, 2029 ",1,Rustomjee 180 Bayview
Builder,mumbai," Mar, 2028 ",1,Raheja Modern Vivarea
