NAME,CITY,BEDROOM,STATUS,LOCATION,PRICE RANGE1,BEDROOM2,PRICE RANGE2,BEDROOM3,PRICE RANGE3,OWNER,OWNER NAME,SQ.FT min,SQ FT max
Aadhya Arambh,ahmedabad,2,"Dec, 2026","Ghatlodia, Ahmedabad",1.35,,,,,Builder,Shikhar Projects,1000,
Shivalaya 24,ahmedabad,3,"Nov, 2025","Chandkheda, Ahmedabad",1.27,,,,,Builder,Neeldev Buildcon,950,
The Golden County,ahmedabad,2,"Since Jun, 2022","Greater Thol, Rancharda, Ahmedabad",2.38,,,,,Builder,The Golden County,1200,
Karmabhumi 1,ahmedabad,2,"Since Jan, 2012","Rancharda, Ahmedabad",2.64,,,,,Builder,Karmabhumi,1300,
The Sovereign,ahmedabad,4," Dec, 2027","Thaltej Shilaj Road, Ahmedabad",4.3,,,,,Builder,Ashima Limited,2000,
Tulsi Paradise,ahmedabad,3,"May, 2025","Motera, Ahmedabad",0.71,,,,,Builder,Shyam Group Motera Ahmedabad,900,
Vandematram Sky 100,ahmedabad,3," May, 2026","Thaltej, Ahmedabad",1.63,,,,,Builder,Vandematram Infra,1100,
Suryansh Sanidhya Shivalaya,ahmedabad,2," Jun, 2025","Sarkhej, Sarkhej Okaf, Ahmedabad",0.39,,,,,Builder,Sun Buildcon,850,
Super Shaligram,ahmedabad,3," Mar, 2029","Gota, Ahmedabad",1.54,,,,,Builder,Shaligram Group,1300,
Rajyash Regius,ahmedabad,3,"Dec, 2026","Bopal, Ahmedabad",1.4,,,,,Builder,Rajyash Group,1200,
Times 104,ahmedabad,4," Oct, 2025","Thaltej, Ahmedabad",3.5,,,,,Builder,Times Infrabuild,1500,
Anamika High Point,ahmedabad,4," Jun, 2030","Bodakdev, Ahmedabad",3.58,,,,,Builder,Constera Realty,1700,
Shagun Seleste,ahmedabad,3," Oct, 2026","Chandkheda, Ahmedabad",1.27,,,,,Builder,Shagun Group,1100,
Maitri Elevate,ahmedabad,3,"Dec, 2028","Koteshwar, Ahmedabad",1.37,,,,,Builder,Maitri Group Ahmedabad,1000,
Shree Vishnudhara Essence,ahmedabad,3,"Jun, 2025","Thaltej, Ahmedabad",1.25,,,,,Builder,Vishnudhara Paradise LLP,950,
Shilp Residency,ahmedabad,3," Jun, 2027","Gota, Ahmedabad",2.3,,,,,Builder,Shilp Group,1400,
Kalasagar Skyline,ahmedabad,4,"Apr, 2028","Shahibaug, Ahmedabad",3,,,,,Builder,V3 Construction Company,1600,
Ashtvinayak Uptown,ahmedabad,2," Apr, 2023","Motera, Ahmedabad",0.54,,,,,Builder,Bhoomi Enterprise Gandhinagar,900,
Archway by Adani Realty,ahmedabad,3,"Mar, 2026","Jagatpur, Ahmedabad",2.3,,,,,Builder,Adani Realty,1200,
Adani Embrace,ahmedabad,3,"Jul, 2027","Vaishnodevi Circle, Ahmedabad North",2.87,,,,,Builder,Adani Realty,1300,
